2026-06-24 16:14:19Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (15s ago), fg ?
2026-06-24 16:14:19Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (8s ago), fg ?
2026-06-24 16:14:19Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:14:25Z hc1 (D2R_1): frame DiabloSplash (1s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (21s ago), fg ?
2026-06-24 16:14:25Z hc2 (D2R_2): frame DiabloSplash (7s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (15s ago), fg ?
2026-06-24 16:14:25Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:14:31Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (24s ago), fg ?
2026-06-24 16:14:31Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (17s ago), fg ?
2026-06-24 16:14:31Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:14:37Z hc1 (D2R_1): frame DiabloSplash (5s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (34s ago), fg ?
2026-06-24 16:14:37Z hc2 (D2R_2): frame DiabloSplash (3s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (27s ago), fg ?
2026-06-24 16:14:37Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:14:44Z hc1 (D2R_1): frame DiabloSplash (12s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (40s ago), fg ?
2026-06-24 16:14:44Z hc2 (D2R_2): frame DiabloSplash (10s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (33s ago), fg ?
2026-06-24 16:14:44Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:14:50Z hc1 (D2R_1): frame DiabloSplash (14s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (42s ago), fg ?
2026-06-24 16:14:50Z hc2 (D2R_2): frame DiabloSplash (12s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (36s ago), fg ?
2026-06-24 16:14:50Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:14:56Z hc1 (D2R_1): frame DiabloSplash (24s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (52s ago), fg ?
2026-06-24 16:14:56Z hc2 (D2R_2): frame DiabloSplash (22s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (46s ago), fg ?
2026-06-24 16:14:56Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
